CustomerID,Recency,Frequency,Monetary,AOV,Cluster_ID,Cluster_Tier,R_Score,F_Score,M_Score,RFM_Composite,Business_Segment,Recommended_Action
12346,10,1,23.07,23.07,2,Cluster_2,5,1,2,512,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
12347,7,19,269.59,14.19,3,Cluster_4,5,5,5,555,Champions,"VIP concierge access, early product drops, loyalty rewards"
12348,10,6,97.84,16.31,0,Cluster_3,5,4,4,544,Champions,"VIP concierge access, early product drops, loyalty rewards"
12349,57,2,41.6,20.8,1,Cluster_1,3,2,3,323,Needs Attention,Personalized re-activation email with product recommendations
12353,6,10,218.28,21.83,3,Cluster_4,5,5,5,555,Champions,"VIP concierge access, early product drops, loyalty rewards"
12354,122,2,32.93,16.46,1,Cluster_1,2,2,2,222,Hibernating,Low-cost email engagement test; purge if no response in 60d
12355,36,4,47.36,11.84,0,Cluster_3,3,3,3,333,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12357,13,19,310.72,16.35,3,Cluster_4,5,5,5,555,Champions,"VIP concierge access, early product drops, loyalty rewards"
12358,62,7,129.55,18.51,0,Cluster_3,3,4,4,344,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12360,83,1,6.2,6.2,1,Cluster_1,2,1,1,211,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12362,33,2,27.19,13.6,1,Cluster_1,4,2,2,422,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
12363,69,1,19.26,19.26,1,Cluster_1,2,1,2,212,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12364,174,1,15.28,15.28,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12365,107,1,18.8,18.8,1,Cluster_1,2,1,2,212,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12366,53,3,30.26,10.09,1,Cluster_1,3,3,2,332,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12369,77,1,9.23,9.23,1,Cluster_1,2,1,1,211,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12371,57,3,46.14,15.38,0,Cluster_3,3,3,3,333,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12372,156,1,11.92,11.92,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12374,35,3,37.33,12.44,0,Cluster_3,3,3,3,333,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12376,18,1,16.14,16.14,2,Cluster_2,4,1,1,411,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
12379,8,18,262.29,14.57,3,Cluster_4,5,5,5,555,Champions,"VIP concierge access, early product drops, loyalty rewards"
12380,3,17,350.98,20.65,3,Cluster_4,5,5,5,555,Champions,"VIP concierge access, early product drops, loyalty rewards"
12381,4,4,39.95,9.99,2,Cluster_2,5,3,3,533,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12384,3,2,35.52,17.76,2,Cluster_2,5,2,2,522,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
12385,83,2,39.35,19.68,1,Cluster_1,2,2,3,223,Hibernating,Low-cost email engagement test; purge if no response in 60d
12387,21,2,29.5,14.75,2,Cluster_2,4,2,2,422,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
12389,20,7,142.34,20.33,0,Cluster_3,4,4,5,445,Champions,"VIP concierge access, early product drops, loyalty rewards"
12390,155,1,6.4,6.4,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12391,42,3,56.18,18.73,0,Cluster_3,3,3,3,333,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12393,171,2,31.63,15.82,1,Cluster_1,1,2,2,122,Hibernating,Low-cost email engagement test; purge if no response in 60d
12394,175,1,9.4,9.4,1,Cluster_1,1,1,1,111,Lost / Inactive,Exclude from paid acquisition remarketing to conserve budget
12396,8,21,396.23,18.87,3,Cluster_4,5,5,5,555,Champions,"VIP concierge access, early product drops, loyalty rewards"
12397,45,5,113.88,22.78,0,Cluster_3,3,4,4,344,Loyal Customers,"Category expansion, upsell incentives, referral programs"
12398,10,11,178.65,16.24,3,Cluster_4,5,5,5,555,Champions,"VIP concierge access, early product drops, loyalty rewards"
12399,2,10,193.19,19.32,3,Cluster_4,5,5,5,555,Champions,"VIP concierge access, early product drops, loyalty rewards"
12401,20,13,242.59,18.66,3,Cluster_4,4,5,5,455,Champions,"VIP concierge access, early product drops, loyalty rewards"
12406,4,1,12.17,12.17,2,Cluster_2,5,1,1,511,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
12408,29,5,101.58,20.32,0,Cluster_3,4,4,4,444,Champions,"VIP concierge access, early product drops, loyalty rewards"
12409,98,2,9.2,4.6,1,Cluster_1,2,2,1,221,Hibernating,Low-cost email engagement test; purge if no response in 60d
12410,29,1,22.45,22.45,1,Cluster_1,4,1,2,412,Recent Converts / Promising,"Onboarding nurture stream, time-limited 2nd-order voucher"
